Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"7870 GHz Edition, 100354OC-2L",381,810,1450,,,Reaper v13 Beta,sharethreads 20 thread_concurrency 15232,"Windows 7 x64, Catalyst 13.3 Beta, 65C"
AMD GPU,"7870 GHz Edition, GV-R787OC-2GD",385,1190,1500,,,cgminer 2.11.4,-I 12 -g 2 -w 256 --thread-concurrency 8192,
AMD GPU,"7870, DC2-2GD5-V2",394,925,1375,0.988 ?,200,cgminer 3.6.0,,"Windows 8.1, 67C, Asus Maximus V Formula, i5-3570k"
AMD GPU,"7870, H787F2G2M",400,950,1250,1.219 Y,,cgminer 3.6.6,-I 18 -g 1 -w 256 --thread-concurrency 15232,"Windows 7 x64, 68C, Catalyst v13.9, GA-970-UD3, FX-8320 8GB RAM"
AMD GPU,"7870 GHz Edition, GV-R787OC-2GD",425,1000,1500,1.219 ?,,cgminer 2.11.3,-I 18 -g 1 -w 256 --thread-concurrency 15232,
AMD GPU,"7870 GHz Edition, GV-R787OC-2GD",470,1139,1500,,,cgminer 3.1.0,,http://img90.imageshack.us/img90/1549/cgminer7870470.jpg
AMD GPU,"7870, FX-787A-CDFC",375,970,1450,,200,cgminer 2.11.4,-I 17 -g 1 -w 256 --thread-concurrency 14208,Windows 8
AMD GPU,"7950, AX7950 3GBD5-2DHPP",580,1000,1400,1.090 ?,220,cgminer 3.7.2,-I 18 --thread-concurrency 16384,"Windows x64, 72C, Catalyst 13.11 Beta9.2"
AMD GPU,"7950, FX-795A-TDBC",617,1050,1575,,,Reaper v13 Beta 4,aggression 20 sharethreads 32 gpu_thread_concurrency 24768,"Windows 7 x64, 83C, Catalyst 13.1"
AMD GPU,"7950, 11196-02-40G",620,1025,1250,1.090 Y,200,cgminer 3.4.0,-I 20,"68C, SDK 2.8"
AMD GPU,"7950, R7950 Twin Frozr 3GD5/OC",640,1060,1590,0.964 ?,,cgminer 3.4.1,-I 20 --gpu-powertune 20,"Xubuntu, V27717S firmware"
AMD GPU,"7950, FX-795A-TDFC",640,1040,1495,1.250 ?,,cgminer,,BAMT
